"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
11	"Fæhn T., Bruvoll A."	"(Fæhn and Bruvoll, 2009)"	"Richer and cleaner-At others' expense?"	2009	"Resource and Energy Economics"	"10.1016/j.reseneeco.2008.11.001"	"https://doi.org/10.1016/j.reseneeco.2008.11.001"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"IDG"	""	"2030"	"1995 Norwegian National Accounts"	NA	2	"Norway,Rest of World"	NA	60	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
12	"Golub A., Hertel T., Lee H.-L., Rose S., Sohngen B."	"(Golub et al., 2009)"	"The opportunity cost of land use and the global potential for greenhouse gas mitigation in agriculture and forestry"	2009	"Resource and Energy Economics"	"10.1016/j.reseneeco.2009.04.007"	"https://doi.org/10.1016/j.reseneeco.2009.04.007"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"emissions/CO2 related"	"SPG"	"GTAP-AEZ-GHG"	"2020"	"ambiguous"	NA	3	"China,Rest of World,United States"	NA	24	"Yes"	"partial equilibrium"	"global timber model"	"forestry"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"No"
13	"Grant J.H., Hertel T.W., Rutherford T.F."	"(Grant et al., 2009)"	"Dairy tariff-quota liberalization: Contrasting bilateral and most favored nation reform options"	2009	"American Journal of Agricultural Economics"	"10.1111/j.1467-8276.2009.01263.x"	"https://doi.org/10.1111/j.1467-8276.2009.01263.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SP"	""	"2001"	"CEPII MAcMap 2001"	NA	8	"Argentina,Australia,Canada,Europe,LAM/LAC/SAM,New Zealand,Rest of Europe,United States"	NA	1	"No"	""	""	""	""	""	"GAMS"	""	"ambiguous"
14	"Haddad E.A., Bonet J., Hewings G.J.D., Perobelli F.S."	"(Haddad et al., 2009)"	"Spatial aspects of trade liberalization in Colombia: A general equilibrium approach"	2009	"Papers in Regional Science"	"10.1111/j.1435-5957.2009.00268.x"	"https://doi.org/10.1111/j.1435-5957.2009.00268.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"CEER"	"2004"	"Colombian Statistics Bureau"	NA	34	"Amazonas,Antioquia,Arauca,Atlántico,Bogotá C.,Bolívar,Boyacá,Cal,Caquetá,Casanare,Cauca,Cesar,Chocó,Cór,Cunmarca,Guanía,Guaviare,Huila,La Guajira,Magna,Meta,Nariño,Norte Santander,Putumayo,Quindío,Rest of World,Risaralda,San An y Proviia,Santander,Sucre,Tolima,Valle,Vaupés,Vichada"	NA	7	"No"	""	""	""	""	""	"GEMPack"	""	"Yes"
15	"Jongwanich J., James W.E., Minor P.J., Greenbaum A."	"(Jongwanich et al., 2009)"	"Trade structure and the transmission of economic distress in the high-income OECD countries to developing Asia"	2009	"Asian Development Review"	""	"https://www.adb.org/publications/trade-structure-and-transmission-economic-distress-high-income-oecd-countries"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"demand change,protectionism"	"SG"	"GTAP"	"2004"	"GTAP7"	113	13	"China,East Asia,Europe,India,Japan,Malaysia,North America,Oceania,Other developing Asia,Other South Asia,Rest of World,SEA,Singapore"	57	11	"No"	""	""	""	""	""	"unspecified"	""	"No"
16	"Jorgenson D., Goettle R., Ho M.S., Wilcoxen P."	"(Jorgenson et al., 2009)"	"Cap and trade climate policy and U.S. economic adjustments"	2009	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2008.09.006"	"https://doi.org/10.1016/j.jpolmod.2008.09.006"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"IDG"	"IGEM"	"2040"	"US Bureau of Labor Statistics"	NA	2	"Rest of World,United States"	NA	35	"No"	""	""	""	""	""	"unspecified"	""	"No"
17	"Karim I.E.E.A., Kirschke D."	"(Karim and Kirschke, 2009)"	"World cotton markets liberalisation and cotton trade in Sudan"	2009	"World Review of Entrepreneurship, Management and Sustainable Development"	"10.1504/WREMSD.2009.026806"	"https://doi.org/10.1504/WREMSD.2009.026806"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SP"	"ATPSM"	"2001"	"IMF, FAO, UNCTAD"	176	9	"Benin,Burkina Faso,Cameroon,Chad,Sudan,Tanzania,Togo,Zambia,Zimbabwe"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"No"
18	"Kawai M., Zhai F."	"(Kawai and Zhai, 2009)"	"China-Japan-United States integration amid global rebalancing: A computable general equilibrium analysis"	2009	"Journal of Asian Economics"	"10.1016/j.asieco.2009.09.003"	"https://doi.org/10.1016/j.asieco.2009.09.003"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"demand change,domestic service sector reform,FTA related"	"SG"	""	"2004"	"GTAP7"	113	17	"ANZ,Canada,China,Europe,Hong Kong,Indonesia,Japan,LAM/LAC/SAM,Malaysia_Singapore,Philippines,Rest of Asia,Rest of World,South Korea,Taiwan,Thailand,United States,Vietnam"	57	17	"No"	""	""	""	""	""	"GAMS"	""	"No"
19	"Keeney R., Beckman J."	"(Keeney and Beckman, 2009)"	"WTO negotiations on agriculture and the distributional impacts for US rice farm households"	2009	"Food Policy"	"10.1016/j.foodpol.2008.05.002"	"https://doi.org/10.1016/j.foodpol.2008.05.002"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"liberalization"	"SG"	"GTAP"	"2004"	"GTAP6.1"	92	3	"Japan,Rest of World,United States"	57	1	"No"	""	""	""	""	""	"GEMPack"	""	"No"
20	"Kinnman S., Lodefalk M."	"(Kinnman and Lodefalk, 2009)"	"A global Baltic: Potential gains from trade liberalisation in the Baltic Sea states"	2009	"Baltic Journal of Economics"	"10.1080/1406099X.2009.10840453"	"https://doi.org/10.1080/1406099X.2009.10840453"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization,non-tariff barrier"	"SG"	"GTAP-based"	"2001"	"GTAP6.2"	96	11	"Denmark,Estonia,Finland,Germany,Iceland_Norway,Latvia,Lithuania,Poland,Rest of World,Russia/FSU,Sweden"	57	21	"No"	""	""	""	""	""	"GEMPack"	""	"No"
21	"Kiymaz T., Cagatay S."	"(Kiymaz and Cagatay, 2009)"	"Possible effects of set-aside removal and severe draught in the EU and Turkey"	2009	"New Medit"	""	"http://dev.iamb.it/share/img_new_medit_articoli/256_46kiymaz.pdf"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related,supply change"	"SP"	"ATPSM"	"2001"	"UNCTAD, FAO"	NA	3	"Europe,Rest of World,Turkey"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
22	"Kumar A.G., Saini G.K."	"(Kumar and Saini, 2009)"	"Economic Cooperation in South Asia: The Dilemma of SAFTA and Beyond"	2009	"Journal of South Asian Development"	"10.1177/097317410900400205"	"https://doi.org/10.1177/097317410900400205"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	"GTAP"	"2001"	"GTAP6"	87	15	"Albania_Bulgaria_Croatia_Rest of EFTA_Rest of Europe_Rest of Former Soviet Union_Russia/FSU_Switzerland_Turkey,Argentina_Brazil_Chile_Colombia_LAM/LAC/SAM_Peru_Rest of Andean Pact_Rest of Free Trade Area of the Americas_Rest of LAM/LAC/SAM_Rest of North America_Rest of the Caribbean_Uruguay_Venezuela,Bangladesh,China,Europe,Hong Kong_Rest of East Asia_South Korea_Taiwan,India,Indonesia_Malaysia_Philippines_Rest of SEA_Singapore_Thailand_Vietnam,Japan,MENA,North America,Oceania,Rest of South Asia,Sri Lanka,sub-Saharan Africa"	57	11	"No"	""	""	""	""	""	"unspecified"	""	"No"
23	"Latorre M.C., Bajo-Rubio O., Gómez-Plana A.G."	"(Latorre et al., 2009)"	"The effects of multinationals on host economies: A CGE approach"	2009	"Economic Modelling"	"10.1016/j.econmod.2009.02.008"	"https://doi.org/10.1016/j.econmod.2009.02.008"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"multinational enterprise entry"	"SG"	"GTAP-based"	"2001"	"GTAP6"	87	2	"Czech Republic,Rest of World"	57	20	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
24	"Lee D.J., Zhang J."	"(Lee and Zhang, 2009)"	"Efficiency, equity, and environmental implications of trade liberalization: A computable general equilibrium analysis"	2009	"Journal of International Trade and Economic Development"	"10.1080/09638190902986504"	"https://doi.org/10.1080/09638190902986504"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"1997"	"GTAP5"	66	8	"China_India,Eastern Europe_Former Soviet Union,Energy Exporting Countries
,Europe,Japan,Rest of Annex 1 countries,Rest of World,United States"	57	8	"No"	""	""	""	""	""	"GEMPack"	""	"No"
25	"Lee H., Owen R.F., van der Mensbrugghe D."	"(Lee et al., 2009)"	"Regional integration in Asia and its effects on the EU and North America"	2009	"Journal of Asian Economics"	"10.1016/j.asieco.2009.02.001"	"https://doi.org/10.1016/j.asieco.2009.02.001"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"RDG"	"LINKAGE"	"2015"	"GTAP6"	87	12	"ANZ,China,Eastern Europe,Europe,India,Japan,North America,Other SEA,Rest of World,Singapore,South Korea,Taiwan"	57	22	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
26	"Loisel R."	"(Loisel 2009)"	"Environmental climate instruments in Romania: A comparative approach using dynamic CGE modelling"	2009	"Energy Policy"	"10.1016/j.enpol.2009.02.001"	"https://doi.org/10.1016/j.enpol.2009.02.001"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"IDG"	""	"2043"	"2003 Romania SAM"	NA	2	"Rest of World,Romania"	NA	14	"No"	""	""	""	""	""	"GAMS-MCP"	"PATH"	"No"
27	"Nahar B., Siriwardana M."	"(Nahar and Siriwardana, 2009)"	"Impact of trade liberalization on poverty in bangladesh: A quantitative assessment"	2009	"South Asia Economic Journal"	"10.1177/139156140901000204"	"https://doi.org/10.1177/139156140901000204"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Bangladesh model"	"2000"	"2000 Bangladesh SAM"	NA	2	"Bangladesh,Rest of World"	NA	86	"No"	""	""	""	""	""	"unspecified"	""	"No"
28	"Nyhodo B., Punt C., Vink N."	"(Nyhodo et al., 2009)"	"The potential impact of the Doha development agenda on the South African economy: Liberalising OECD agriculture and food trade"	2009	"Agrekon"	"10.1080/03031853.2009.9523816"	"https://doi.org/10.1080/03031853.2009.9523816"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GLOBE"	"2000"	"2000 South Africa SAM, GTAP"	NA	9	"Asia,Europe,Japan,North America,Rest of Africa,Rest of Europe,Rest of South African Development Community,Rest of World,South Africa/SACU"	57	28	"Yes"	"general equilibrium"	"PROVIDE"	"economic"	"loose"	"Coupled model uses CGE/PE output"	"GAMS"	""	"No"
29	"Park I."	"(Park 2009)"	"Regional trade agreements in East Asia: Will they be sustainable?"	2009	"Asian Economic Journal"	"10.1111/j.1467-8381.2009.02008.x"	"https://doi.org/10.1111/j.1467-8381.2009.02008.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,liberalization"	"SG"	"GTAP6inGAMS"	"2001"	"GTAP6"	87	25	"Australia,Brazil,Canada,Chile,China,Europe,Hong Kong,India,Indonesia,Japan,Malaysia,Mexico,New Zealand,Peru,Philippines,Rest of SEA,Rest of World,Russia/FSU,Singapore,South Korea,Taiwan,Thailand,United States,Vietnam,Western Europe"	57	7	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
30	"Park I., Park S."	"(Park and Park, 2009)"	"Free trade agreements versus customs unions: An examination of east Asia"	2009	"Asian Economic Papers"	"10.1162/asep.2009.8.2.119"	"https://doi.org/10.1162/asep.2009.8.2.119"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,FTA related"	"SG"	"GTAP"	"2001"	"GTAP6"	87	5	"China,Japan,Rest of World,SEA,South Korea"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"No"
31	"Philippidis G., Karaca O."	"(Philippidis and Karaca, 2009)"	"The Economic impacts of Turkish accession to the European Union"	2009	"World Economy"	"10.1111/j.1467-9701.2009.01207.x"	"https://doi.org/10.1111/j.1467-9701.2009.01207.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	"GTAP"	"2001"	"GTAP6"	87	8	"Austria_Netherlands_Sweden,Bulgaria_Romania,Cyprus_Czech Republic_Estonia_Hungary_Latvia_Lithuania_Malta_Poland_Slovakia_Slovenia,Germany,Rest of EU,Rest of World,Turkey,United Kingdom"	57	22	"No"	""	""	""	""	""	"GEMPack"	""	"No"
32	"Rau M.-L., Van Tongeren F."	"(Rau and Van Tongeren, 2009)"	"Heterogeneous firms and homogenising standards in agri-food trade: The Polish meat case"	2009	"European Review of Agricultural Economics"	"10.1093/erae/jbp032"	"https://doi.org/10.1093/erae/jbp032"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"increase fixed entry costs,other trade related,upgrade meat sector"	"SP"	""	"2004"	"Eurostat, UN COMTRADE"	NA	2	"Europe,Poland"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
33	"Robinson S., Willenbockel D."	"(Robinson and Willenbockel, 2009)"	"The OECD recession and developing country trade: A global simulation analysis"	2009	"IDS Bulletin"	"10.1111/j.1759-5436.2009.00070.x"	"https://doi.org/10.1111/j.1759-5436.2009.00070.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"growth related"	"SG"	"GLOBE"	"2004"	"GTAP7"	113	32	"Bangladesh,Cambodia,Central Africa,China,Ethiopia,India,Indonesia,Kyrgyz Republic,Malawi,Mozambique,Myanmar,Nigeria,North Africa,North America,OECD Asia,OECD Europe,Pakistan,Rest of Asia,Rest of Eastern Africa,Rest of SACU,Rest of South Asia,Rest of the Americas,Rest of Western Africa,Rest of World,Senegal,South Africa/SACU,South Central Africa,Tanzania,Uganda,Vietnam,Zambia,Zimbabwe"	57	5	"No"	""	""	""	""	""	"unspecified"	""	"No"
34	"Ronneberger K., Berrittella M., Bosello F., Tol R.S.J."	"(Ronneberger et al., 2009)"	"KLUM@GTAP: Introducing biophysical aspects of land-use decisions into a computable general equilibrium model a coupling experiment"	2009	"Environmental Modeling and Assessment"	"10.1007/s10666-008-9177-z"	"https://doi.org/10.1007/s10666-008-9177-z"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"SRES"	"SG"	"GTAP-EFL"	"2050"	"GTAP5"	66	16	"ANZ,Canada,China_Mongolia_North Korea,EEU,Japan_South Korea,LAM/LAC/SAM,LAM/LAC/SAM,Middle East,North Africa,Rest of World,Russia/FSU,SEA,South Asia,sub-Saharan Africa,United States,Western Europe"	57	17	"Yes"	"KLUM"	"KLUM"	"land-use"	"tight"	"both"	"unspecified"	""	"ambiguous"
35	"Rutten M., Reed G."	"(Rutten and Reed, 2009)"	"A comparative analysis of some policy options to reduce rationing in the UK's NHS: Lessons from a general equilibrium model incorporating positive health effects"	2009	"Journal of Health Economics"	"10.1016/j.jhealeco.2008.10.002"	"https://doi.org/10.1016/j.jhealeco.2008.10.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"government related,import related"	"SG"	""	"2000"	"2000 UK SAM"	NA	1	"United Kingdom"	NA	11	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"Yes"
36	"Sánchez-Cantillo M.V."	"(Sánchez 2009)"	"Trade policy reform and poverty: Successes and failures in central America"	2009	"Cepal Review"	""	"https://ideas.repec.org/a/ecr/col070/11488.html"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"IFPRI-based"	"1997/1999"	"1997 Costa Rica SAM, 1997 Honduras SAM, 1999 El Salvador SAM"	NA	4	"Costa Rica,El Salvador,Honduras,Rest of World"	NA	2	"No"	""	""	""	""	""	"GAMS"	""	"No"
37	"Saunders C., Kaye-Blake W., Marshall L., Greenhalgh S., de Aragao Pereira M."	"(Saunders et al., 2009)"	"Impacts of a United States' biofuel policy on New Zealand's agricultural sector"	2009	"Energy Policy"	"10.1016/j.enpol.2008.11.030"	"https://doi.org/10.1016/j.enpol.2008.11.030"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"fuel related"	"RDP"	"LTEM"	"2015"	"OECD, Economic Research Service"	NA	17	"Argentina,Australia,Canada,Czech Republic,Europe,Hungary,Japan,Mexico,New Independent States,New Zealand,Norway,Poland,Rest of World,Slovakia,Switzerland,Turkey,United States"	NA	22	"No"	""	""	""	""	""	"unspecified"	""	"No"
38	"Shaikh F.M."	"(Shaikh 2009)"	"Analysis of bilateral trade liberalization and South Asian Free Trade Agreement (SAFTA) on Pakistan's economy by using CGE model"	2009	"Journal of International Trade Law and Policy"	"10.1108/14770020910990632"	"https://doi.org/10.1108/14770020910990632"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,liberalization"	"SG"	"GTAP"	"1995"	"GTAP4"	45	10	"Europe,India,Japan,Middle East,North America,Pakistan,Rest of Asia,Rest of South Asia,Rest of World,SEA"	50	6	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
39	"Siddiqui R."	"(Siddiqui 2009)"	"Modeling gender effects of Pakistan's trade liberalization"	2009	"Feminist Economics"	"10.1080/13545700902964295"	"https://doi.org/10.1080/13545700902964295"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	""	"1990"	"1990 Pakistan SAM"	NA	2	"Pakistan,Rest of World"	NA	4	"No"	""	""	""	""	""	"GAMS"	""	"No"
40	"Trømborg E., Sjølie H., Solberg B., Hovi I.B., Madslien A., Veisten K."	"(Trømborg et al., 2009)"	"Economic and environmental impacts of transport cost changes on timber and forest product markets in Norway"	2009	"Scandinavian Journal of Forest Research"	"10.1080/02827580903035994"	"https://doi.org/10.1080/02827580903035994"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"forest related,infrastructure investments,other energy related"	"SPG"	"PINGO"	"2020"	"Skog-Data AS"	NA	22	"Aust-Agder,Buskerud,Hedmark N,Hedmark S,Hordaland,Møre og Romsd.,Nord-Trønd.,Nordland,Oppland N,Oppland S,Oslo/Akershus,Østfold,Rest of World,Rest of World,Rogaland,Sogn og Fj.,Sør-Trønd.,Sweden,Telemark,Troms,Vest-Agder,Vestfold"	NA	5	"Yes"	"logistic model, partial equilibrium"	"logistic model, NTM2"	"forestry"	"loose"	"CGE>logistic>PE"	"unspecified"	""	"Yes"
41	"Verburg R., Stehfest E., Woltjer G., Eickhout B."	"(Verburg et al., 2009)"	"The effect of agricultural trade liberalisation on land-use related greenhouse gas emissions"	2009	"Global Environmental Change"	"10.1016/j.gloenvcha.2009.06.004"	"https://doi.org/10.1016/j.gloenvcha.2009.06.004"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"liberalization"	"SG"	"LEITAP"	"2050"	"GTAP-IPCC"	NA	13	"Africa,ANZ,Belarus_Kyrgyz Republic_Tajikistan_Turkmenistan_Ukraine_Uzbekistan,Brazil,China_Mongolia,EU28_Turkey,Indonesia_SEA,Japan_South Korea,LAM/LAC/SAM,Middle East,North America,Russia/FSU,South Asia"	NA	8	"Yes"	"IAM (biophysical models)"	"IMAGE"	"multiple"	"tight"	"both"	"unspecified"	""	"No"
42	"Winchester N."	"(Winchester 2009)"	"Is there a dirty little secret? Non-tariff barriers and the gains from trade"	2009	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2009.08.004"	"https://doi.org/10.1016/j.jpolmod.2009.08.004"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization,non-tariff barrier"	"SG"	"GTAP6inGAMS"	"2001"	"GTAP6"	87	9	"Australia,China,Europe,Japan,New Zealand,Rest of World,SEA,South Korea,United States"	57	23	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
43	"Zhai F., Lin T., Byambadorj E."	"(Zhai et al., 2009)"	"A general equilibrium analysis of the impact of climate change on agriculture in the people's Republic of China"	2009	"Asian Development Review"	""	"https://think-asia.org/handle/11540/1680"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"SRES"	"RDG"	"LINKAGE-based"	"2080"	"GTAP7"	113	15	"Australia,Canada,Central Asia,China_South Korea,Europe,India,Japan,LAM/LAC/SAM,New Zealand,Rest of Asia,Rest of South Asia,Rest of World,SEA,sub-Saharan Africa,United States"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
